Ward_name,School_name
St. Mary's Park,Saint John Bosco College
East Barnet,JCoSS
Falconwood and Welling,Harris Academy Falconwood
Tachbrook,Pimlico Academy
Coulsdon East,Oasis Academy Coulsdon
Kedermister,The Langley Academy
Clapham Common,Iqra Primary School
Barnhill,Ark Academy
Barnhill,Ark Academy
Upminster,Branfil Primary School
St. Peter's,City of London Academy Islington
Chaucer,Ark Globe Academy
Chaucer,Ark Globe Academy
Hounslow Heath,Orchard Primary School
Enfield Highway,Brimsdown Primary School
Cremorne,Chelsea Academy
Coulsdon West,Woodcote Primary School
Woodhouse,Wren Academy
Woodhouse,Wren Academy
Norwood Green,Khalsa VA Primary School
Surrey Docks,Bacon's College
Coldharbour,Ark Evelyn Grace Academy
Stoneleigh,Meadow Primary School
East Putney,Ashcroft Technology Academy
East Walworth,Ark Walworth Academy
South Norwood,Harris City Academy Crystal Palace
Brent,The Leigh Academy
Joyce Green,Dartford Bridge Community Primary School
Blackheath,St Matthew Academy
Blackheath,St Matthew Academy
Heston East,The Rosary Catholic Primary School
South Norwood,Harris Academy South Norwood
Church Street,Ark King Solomon Academy
Church Street,Ark King Solomon Academy
Riverside and Laleham,Buckland Primary School
Cray Valley East,Riverside School
Cray Valley East,Riverside School
East Finchley,Martin Primary School
Harrow Weald,Cedars Manor School
Wood Street,Our Lady and St George's Catholic Primary School
Princes,Oakfield Community Primary School
Heathfield,Gilbert Scott Primary School
Hale End and Highams Park,Selwyn Primary School
Hextable,Hextable Primary School
Finchley Church End,Akiva School
Telegraph Hill,Haberdashers' Aske's Hatcham College
Telegraph Hill,Haberdashers' Aske's Hatcham College
Downham,Haberdashers' Aske's Knights Academy
Downham,Haberdashers' Aske's Knights Academy
Leatherhead North,Leatherhead Trinity School and Children's Centre
Harefield,The Harefield Academy
Stanmore Park,St John's CofE School Stanmore
The Lane,Rye Oak Primary School
Tadworth and Walton,The Children's Trust School
Tadworth and Walton,The Children's Trust School
Clapham Common,Lambeth Academy
Edgware,London Academy
Edgware,London Academy
Yiewsley,Stockley Academy
Falconwood and Welling,Bishop Ridley Church of England VA Primary School
Stanwell North,Stanwell Fields CofE Primary School
Hackney Central,Mossbourne Community Academy
Harringay,North Harringay Primary School
St. Ann's,Chestnuts Primary School
Burnt Oak,Woodcroft Primary School
New River,Lubavitch Ruth Lunzer Girls Primary School
Walton Ambleside,Walton Oak Primary School
Swanley Christchurch and Swanley Village,Downsview Community Primary School
Brixton Hill,The Orchard School
Upper Norwood,Kensington Avenue Primary School
Northolt West End,Alec Reed Academy
Northolt West End,Alec Reed Academy
St. Mary's,St Mary Magdalene Academy
St. Mary's,St Mary Magdalene Academy
Enfield Lock,Oasis Academy Enfield
Haselbury,Starks Field Primary School
North End,Normand Croft Community School for Early Years and Primary Education
Coulsdon East,Keston Primary School
Willesden Green,Capital City Academy
The Lane,Harris Academy Peckham
Northolt Mandeville,Petts Hill Primary School
Cray Meadows,Orchard School
St. Helier,Tweeddale Primary School
Bow West,Malmesbury Primary School
Christchurch,Upland Primary School
Tooting,Gatton (VA) Primary School
Junction,The Bridge School
Junction,The Bridge School
Avonmore and Brook Green,Larmenier & Sacred Heart Catholic Primary School
Orpington,Blenheim Primary School
Figge's Marsh,St Mark's Church of England Academy
Clayhall,Parkhill Junior School
Clayhall,Parkhill Infants' School
Church End,Churchfields Infants' School
Church End,Churchfields Junior School
Barkingside,Gearies Primary School
Roding,Oakdale Infants' School
Roding,Oakdale Junior School
Figge's Marsh,St Thomas of Canterbury Catholic Primary School
Thamesmead East,The Business Academy Bexley
Thamesmead East,The Business Academy Bexley
South Richmond,Marshgate Primary School
Barnhill,JFS
Court,Southfield Park Primary School
Tottenham Hale,Mulberry Primary School
Wick,St. Dominic's Catholic Primary School
Tulse Hill,Jubilee Primary School
Springfield,Yesodey Hatorah Senior Girls School
Coldharbour,Loughborough Primary School
East India and Lansbury,Lansbury Lawrence Primary School
Thames,Jo Richardson Community School
Enfield Lock,Keys Meadow School
Turnham Green,The William Hogarth Primary School
Herne Hill,The Michael Tippett School
Streatham Wells,The Livity School
Aldborough,Oaks Park High School
Shooters Hill,Willow Dene School
Shooters Hill,Willow Dene School
Hornsey,Greig City Academy
Fryent,Beis Yaakov Primary School
Finchley Church End,Pardes House Primary School
Kew,Kew Riverside Primary School
Edgware,Woodlands School
Clapham Common,Kings Avenue School
Shadwell,Bishop Challoner Catholic Federations of Boys School
Bethnal Green North,St Elizabeth Catholic Primary School
Lea Bridge,Lammas School and Sixth Form
Waltham Abbey Paternoster,Hillhouse CofE Primary School
Eltham North,Deansfield Primary School
Woolwich Common,Eglinton Primary School
Canning Town South,Kaizen Primary School
Plaistow North,Plaistow Primary School
Plumstead,Conway Primary School
Little Ilford,Sir John Heron Primary School
Cranham,Engayne Primary School
Chapel End,Walthamstow Academy
Peckham Rye,Harris Girls' Academy East Dulwich
Brentford,Green Dragon Primary School
Bedfont,Fairholme Primary School
Hanworth,Crane Park Primary School
Highlands,Highlands School
St. Ann's,Seven Sisters Primary School
Kilburn,Kingsgate Primary School
Winchmore Hill,Highfield Primary School
Ravensbury,Malmesbury Primary School
Lower Morden,Aragon Primary School
Brentwood West,Holly Trees Primary School
Chatham,St John and St James CofE Primary School
Beckton,Kingsford Community School
Woodcote,The Vale Primary School
Hale,The Orion Primary School
Aldenham East,Hertsmere Jewish Primary School
Shadwell,St Mary and St Michael Primary School
Mayfield,South Park Primary School
Custom House,The Royal Docks Community School
Green Street West,St Antony's RC Primary School
Broad Green,Kingsley Primary School
Dollis Hill,Avigdor Hirsch Torah Temimah Primary School
Pollards Hill,Harris Academy Merton
Beckton,Gallions Primary School
White Hart Lane,Risley Avenue Primary School
Oval,Henry Fawcett Primary School
Muswell Hill,Muswell Hill Primary School
Valentines,Christchurch Primary School
Parsloes,Southwood Primary School
Alibon,Hunters Hall Primary School
Camberwell Green,Brunswick Park Primary School
Clerkenwell,Hugh Myddelton Primary School
Abbey Wood,Alexander McLeod Primary School
Streatham Wells,Hitherfield Primary School
Hylands,Wykeham Primary School
Gascoigne,Gascoigne Primary School
St. Mary's,Canonbury Primary School
West Green,Park View School
College Park and Old Oak,Ark Burlington Danes Academy
College Park and Old Oak,Ark Burlington Danes Academy
Grange,Harris Academy Bermondsey
Finsbury Park,Poole's Park Primary School
St. Peter's,Rotherfield Primary School
Whitechapel,Harry Gosling Primary School
Bruce Grove,Bruce Grove Primary School
Clissold,Betty Layward Primary School
Tollington,Arts and Media School Islington
Fullwell,Clore Tikva School
Southgate,West Grove Primary School
Heathrow Villages,Cherry Lane Primary School
Clementswood,Winston Way Primary School
Cranbrook,Cranbrook Primary School
Childs Hill,Wessex Gardens Primary School
Royal Docks,Britannia Village Primary School
Haggerston,The Bridge Academy
Woodside,Lordship Lane Primary School
Elm Park,The R J Mitchell Primary School
Pinner,Pinner Wood School
Bickley,Bickley Primary School
Enfield Lock,Chesterfield Primary School
Latchmere,"Sacred Heart Catholic Primary School, Battersea"
Woodside,Earlham Primary School
Brooklands,The Mawney School
Kilburn,St Mary's RC Primary School
Upper Edmonton,Oakthorpe Primary School
Burnt Oak,Menorah Foundation School
Coldharbour,Hill Mead Primary School
Thurlow Park,Rosendale Primary School
Mildmay,Newington Green Primary School
East Walworth,Surrey Square Primary School
Belmont,Whitchurch Primary School & Nursery
Elthorne,Elthorne Park High School
Bridge,Ray Lodge Primary School
Mayfield,Mayespark Primary School
Upper Norwood,Virgo Fidelis Convent Senior School
Westbourne,Westminster Academy
Clapham Common,Bonneville Primary School
Greenwich West,James Wolfe Primary School and Centre for the Deaf
Pinner South,The Moriah Jewish Day School
South Chafford,Warren Primary School
Finsbury Park,Montem Primary School
Glyndon,South Rise Primary School
Ealing Common,Grange Primary School
De Beauvoir,Hoxton Garden Primary
Esher,Cranmere Primary School
Barnehurst,Oakwood School
Thamesmead Moorings,Discovery Primary School
Wandle Valley,Culvers House Primary School
Heath,Trinity School
Heath,Trinity School
Tudor,Fern Hill Primary School
Stroud Green,Stroud Green Primary School
Ewell Court,Riverview CofE Primary and Nursery School VA
Dalston,The Petchey Academy
Markhouse,Barn Croft Primary School
St. Dunstan's and Stepney Green,Stephen Hawking School
Cranbrook,Highlands Primary School
West Hendon,Hasmonean Primary School
Boleyn,Central Park Primary School
Southbury,Russet House School
The Wrythe,Muschamp Primary School and Language Opportunity Base
Edmonton Green,Brettenham Primary School
Stoke Newington Central,William Patten Primary School
Shooters Hill,Timbercroft Primary School
Middle Park and Sutcliffe,Middle Park Primary School
Goresbrook,Godwin Primary School
South Camberwell,Bessemer Grange Primary School
Sanderstead,Ridgeway Primary School
Harrow Road,Paddington Academy
Chadwell,Newbridge School
Chadwell,Newbridge School
Green Street East,Sandringham Primary School
Noel Park,Alexandra Primary School
Alibon,Richard Alibon Primary School with ARP for Cognitive and Learning Difficulties : SEN Base
Millwall,Arnhem Wharf Primary School
Larkswood,Ainslie Wood Primary School
Holborn and Covent Garden,Christopher Hatton Primary School
Eastbury,Monteagle Primary School
Queensbridge,Gayhurst Community School
Leabridge,Rushmore Primary School
Preston,Wembley Primary School
Thurlow Park,The Elmgreen School
Clayhall,Redbridge Primary School
Merstham,Woodfield School
Cuddington,Linden Bridge School
Cuddington,Linden Bridge School
Shepperton Town,Manor Mead School
Shepperton Town,Manor Mead School
Westway,Clifton Hill School
Leatherhead North,West Hill School
Limpsfield,Limpsfield Grange School
Portley,Sunnydown School
Merstham,St Nicholas School
Sunbury East,St Paul's Catholic College
Portley,de Stafford School
College,Wallace Fields Junior School
Tadworth and Walton,Tadworth Primary School
Halliford and Sunbury West,Hawkedale Infants - A Foundation School
Reigate Hill,Royal Alexandra and Albert School
Reigate Hill,Royal Alexandra and Albert School
Ashtead Park,St Andrew's Catholic School
Leatherhead North,Therfield School
Molesey South,St Alban's Catholic Primary School
Hersham North,Cardinal Newman Catholic Primary School
Ashford East,St Michael Catholic Primary School
Laleham and Shepperton Green,Littleton CofE Infant School
Shepperton Town,St Nicholas CofE Primary School
Laleham and Shepperton Green,Laleham CofE VA Primary School
Ashford Common,Ashford CofE Primary School
Ewell,St Clement's Catholic Primary School
Banstead Village,St Anne's Catholic Primary School
Staines,Our Lady of the Rosary RC Primary School
Sunbury East,St Ignatius RC Primary School
Weston Green,"St Paul's Catholic Primary School, Thames Ditton"
Ashtead Village,St Peter's Catholic Primary School
Woodcote,St Joseph's Catholic Primary School
Portley,St Francis Catholic Primary School
Oxted North and Tandridge,St Mary's CofE Junior School
Limpsfield,Limpsfield CofE Infant School
Ashtead Park,St Giles' CofE (Aided) Infant School
Long Ditton,Long Ditton St Mary's CofE (Aided) Junior School
Molesey East,"St Lawrence CofE Aided Junior School, East Molesey"
Chaldon,St Peter and St Paul CofE Infant School
Harestone,St John's CofE Aided Primary School
Woodcote,"St Martin's CofE Aided Infant School, Epsom"
Oxshott and Stoke D'abernon,The Royal Kent CofE Primary School
Woodcote,St Martin's CofE (Aided) Junior School
Merstham,Furzefield Primary School
Tattenhams,Epsom Downs Primary School and Children's Centre
Stanwell North,Town Farm Primary School & Nursery
Molesey South,Chandlers Field Primary School
Ashford North and Stanwell South,Ashford Park Primary School
Claygate,Claygate Primary School
Egham Hythe,Hythe Primary School
Sunbury East,Beauclerc Infant and Nursery School
Ashford Common,Spelthorne School
Sunbury East,Chennestone Primary School
Staines,Riverbridge Primary School
Ashford Town,Clarendon Primary School
Egham Hythe,Thorpe Lea Primary School
Stamford,Stamford Green Primary School
Portley,Audley Primary School
Hersham North,Bell Farm Primary School
Walton North,Grovelands Primary School
Oxted North and Tandridge,Downs Way School
Molesey North,Hurst Park Primary School
College,Wallace Fields Infant School
Nork,Warren Mead Infant School
Ashtead Park,West Ashtead Primary School
Banstead Village,Banstead Community Junior School
Fetcham West,Oakfield Junior School
Ashtead Village,The Greville Primary School
Tattenhams,Shawley Community Primary School
Tatsfield and Titsey,Tatsfield Primary School
Merstham,Merstham Primary School
Fetcham West,Fetcham Village Infant School
Ashtead Common,Barnett Wood Infant School
Thames Ditton,Thames Ditton Infant School
Thames Ditton,Thames Ditton Junior School
Long Ditton,Long Ditton Infant and Nursery School
Hinchley Wood,Hinchley Wood Primary School
Molesey East,The Orchard Infant School
Auriol,Cuddington Community Primary School
Ewell Court,West Ewell Infant School
Auriol,The Mead Infant School
Auriol,Auriol Junior School
Court,Epsom Primary and Nursery School
Ewell,Ewell Grove Infant and Nursery School
Woldingham,Woodlea Primary School
Warlingham West,Hamsey Green Primary
"Chipstead, Hooley and Woodmansterne",Woodmansterne Primary School
Springfield,Springfield Community Primary School
West Hill,Dartford Grammar School for Girls
Swanley White Oak,"St Bartholomew's Catholic Primary School, Swanley"
Town,"Holy Trinity Church of England Primary School, Dartford"
West Hill,Dartford Science & Technology College
West Hill,"Our Lady's Catholic Primary School, Dartford"
Joyce Green,St Anselm's Catholic Primary School
Swanley St. Mary's,St Mary's Church of England Voluntary Aided Primary School
"Brasted, Chevening and Sundridge","Chevening, St Botolph's Church of England Voluntary Aided Primary School"
"Halstead, Knockholt and Badgers Mount",St Katharine's Knockholt Church of England Voluntary Aided Primary School
Westerham and Crockham Hill,Churchill Church of England Voluntary Controlled Primary School
"Brasted, Chevening and Sundridge",Sundridge and Brasted Church of England Voluntary Controlled Primary School
Stone,Stone St Mary's CofE Primary School
Swanley Christchurch and Swanley Village,St Pauls' Church of England Voluntary Controlled Primary School
West Hill,West Hill Primary School
Joyce Green,Temple Hill Community Primary and Nursery School
Swanley Christchurch and Swanley Village,High Firs Primary School
Otford and Shoreham,Shoreham Village School
"Halstead, Knockholt and Badgers Mount",Halstead Community Primary School
Eynsford,The Anthony Roper Primary School
Crockenhill and Well Hill,Crockenhill Primary School
Joydens Wood,Maypole Primary School
Bushey St. James,Falconer School
Hayling,Colnbrook School
Rosedale and Bury Green,Cheshunt School
Brookmans Park and Little Heath,Chancellor's School
Brookmans Park and Little Heath,Brookmans Park Primary School
Northaw and Cuffley,Northaw Church of England Primary School
Brookmans Park and Little Heath,Little Heath Primary School
Northaw and Cuffley,Cuffley School
Shenley,St Giles' CofE Primary School
Borehamwood Cowley Hill,Parkside Community Primary School
Potters Bar Parkfield,Pope Paul Catholic Primary School
Holywell,St Anthony's Catholic Primary School
Flamstead End,St Paul's Catholic Primary School
Bushey St. James,Sacred Heart Catholic Primary School and Nursery
Penn,St John Catholic Primary School
Borehamwood Cowley Hill,St Teresa Roman Catholic Primary School
Northwick,St Joseph Catholic Primary School
Penn,St Peter's Church of England Voluntary Aided Primary School
Rickmansworth,"St Mary's Church of England Primary School, Rickmansworth"
Elstree,St Nicholas Elstree Church of England VA Primary School
Waltham Cross,St Joseph's Catholic Primary School
Cheshunt South and Theobalds,Holy Trinity Church of England Primary School
Rosedale and Bury Green,Dewhurst St Mary CofE Primary School
Brookmans Park and Little Heath,Ponsbourne St Mary's Church of England Primary School
Bushey Park,Ashfield Junior School
Aldenham West,St John's Church of England Infant and Nursery School
Cheshunt North,Millbrook School
Potters Bar Oakmere,Oakmere Primary School
Potters Bar Parkfield,Ladbrooke Junior Mixed and Infant School
Potters Bar Parkfield,Cranborne Primary School
Cheshunt South and Theobalds,Burleigh Primary School
Rosedale and Bury Green,Bonneygrove Primary School
Flamstead End,Fairfields Primary School and Nursery
Wormley and Turnford,Longlands Primary School and Nursery
Goffs Oak,Woodside Primary School
Holywell,Laurance Haines School
Oxhey,Bromet Primary School
Rickmansworth,Rickmansworth Park Junior Mixed and Infant School
Aldenham East,Newberries Primary School
Rosedale and Bury Green,Andrews Lane Primary School
Bushey Heath,Hartsbourne Primary School
Bushey St. James,Bournehall Primary School
Holywell,Holywell Primary School
Rickmansworth West,Arnett Hills Junior Mixed and Infant School
Cheshunt North,Brookland Infant and Nursery School
Maple Cross & Mill End,Maple Cross Junior Mixed Infant and Nursery School
Cheshunt South and Theobalds,Downfield Primary School
Moor Park & Eastbury,Eastbury Farm Primary School
Goffs Oak,Goffs Oak Primary & Nursery School
Bushey St. James,Bushey Manor Junior School
Cheshunt North,Brookland Junior School
Borehamwood Hillside,Monksmead School
Borehamwood Kenilworth,Saffron Green Primary School
Ashridge,Woodhall Primary School
Ashridge,Greenfields Primary School
Borehamwood Brookmeadow,Meryfield Primary School
Borehamwood Kenilworth,Kenilworth Primary School
Borehamwood Hillside,Summerswood Primary School
Borehamwood Cowley Hill,Woodlands Primary School
Waltham Cross,Hurst Drive Primary School
Northwick,Oxhey Wood Primary School
Hayling,Warren Dell Primary School
Carpenders Park,St Meryl School
Central,Watford Field School (Infant & Nursery)
Central,Field Junior School
Vicarage,Chater Infant School
Vicarage,Chater Junior School
Oxhey,Bushey and Oxhey Infant School
Central,Central Primary School
Shenley,Shenley Primary School
Croxley Green,Malvern Way Infant and Nursery School
Croxley Green North,Little Green Junior School
Croxley Green South,Harvey Road Primary School
Croxley Green,Yorke Mead Primary School
Borehamwood Cowley Hill,Cowley Hill School
Chorleywood West,The Russell School
Maple Cross & Mill End,Shepherd Primary
Chorleywood West,Chorleywood Primary School
Waltham Cross,Four Swannes Primary School
Waltham Cross,Holdbrook Primary School
Bushey Park,Merry Hill Infant School and Nursery
Bushey North,Highwood Primary School
Bushey Heath,Bushey Heath Primary School
Brentwood South,The Endeavour School
Brentwood South,The Endeavour School
Loughton St. Mary's,Oak View School
Loughton St. Mary's,Oak View School
Chigwell Row,Wells Park School
Chigwell Row,Wells Park School
Waltham Abbey Paternoster,Upshire Primary Foundation School
Loughton Broadway,Thomas Willingale Primary School and Nursery
Brentwood North,St Helen's Catholic Infant School
Loughton Broadway,St John Fisher Catholic Primary School
Waltham Abbey North East,Waltham Holy Cross Primary School
Waltham Abbey Honey Lane,The Leverton Junior School
Waltham Abbey Honey Lane,The Leverton Infant and Nursery School
Loughton St. Mary's,Roding Valley High School
Brentwood North,St Thomas of Canterbury Church of England Aided Infant School
Belhus,Holy Cross Catholic Primary School
Brentwood North,"St Thomas of Canterbury Church of England Aided Junior School, Brentwood"
Orsett,Orsett Church of England Voluntary Aided Primary School
South Weald,"St Peter's Church of England Voluntary Aided Primary School, South Weald"
"Herongate, Ingrave and West Horndon",Ingrave Johnstone Church of England Voluntary Aided Primary School
Pilgrims Hatch,Bentley St Paul's Church of England Voluntary Aided Primary School
Waltham Abbey High Beach,High Beech Church of England Voluntary Controlled Primary School
Buckhurst Hill West,"St John's Church of England Voluntary Controlled Primary School, Buckhurst Hill"
Orsett,Bulphan Church of England Voluntary Controlled Primary School
Buckhurst Hill East,Buckhurst Hill Community Primary School
Warley,Warley Primary School
Brentwood South,Hogarth Primary School
Ockendon,Bonnygate Primary School
Grange Hill,Limes Farm Infant School and Nursery
Passingford,Stapleford Abbotts Primary School
Lambourne,Lambourne Primary School
Loughton Broadway,Hereward Primary School
Grange Hill,Limes Farm Junior School
"Herongate, Ingrave and West Horndon",West Horndon Primary School
Loughton Roding,White Bridge Primary School
Loughton Alderton,The Alderton Infant School
Loughton Alderton,The Alderton Junior School
Belhus,Somers Heath Primary School
Aveley and Uplands,Aveley Primary School
Chigwell Row,Chigwell Row Infant School
Gold Hill,St Joseph's Catholic Primary School
Iver Village and Richings Park,Iver Village Infant School
Chalfont Common,Robertswood School
Iver Heath,Iver Heath Infant School and Nursery
Iver Heath,Iver Heath Junior School
Gold Hill,Chalfont St Peter Infant School
Iver Village and Richings Park,The Iver Village Junior School
Hedgerley and Fulmer,Fulmer Infant School
Denham South,Denham Village Infant School
Colnbrook with Poyle,Pippins School
Kedermister,Holy Family Catholic Primary School
Horton and Wraysbury,Wraysbury Primary School
Abbey Wood,St Paul's Academy
Hendon,St Mary's and St John's CofE School
Hendon,St Mary's and St John's CofE School
Wood Street,Holy Family Catholic School
Markhouse,Kelmscott School
Hoe Street,Walthamstow School for Girls
Forest,Leytonstone School
High Street,Willowfield Humanities College
Grove Green,Norlington School and 6th Form
Hatch Lane,Heathcote School & Science College
Leyton,George Mitchell School
Leyton,George Mitchell School
Chapel End,Frederick Bremer School
Wood Street,St Mary's Walthamstow CofE Voluntary Aided Primary School
Leyton,St Joseph's Catholic Infant School
Markhouse,St Saviour's Church of England Primary School
High Street,St Patrick's Catholic Primary School
Leyton,St Joseph's Catholic Junior School
Chingford Green,St Mary's Catholic Primary School
Endlebury,Chingford CofE Primary School
Cann Hall,The Jenny Hammond Primary School
Endlebury,Parkside Primary School
Cann Hall,Buxton School
Cann Hall,Buxton School
High Street,Stoneydown Park School
High Street,Coppermill Primary School
High Street,Mission Grove Primary School
Leytonstone,George Tomlinson Primary School
Forest,Gwyn Jones Primary School
Grove Green,Dawlish Primary School
Markhouse,South Grove Primary School
Wood Street,Henry Maynard Primary School
Hale End and Highams Park,Oakhill Primary School
Hatch Lane,Woodford Green Primary School
William Morris,The Winns Primary School
Hale End and Highams Park,Thorpe Hall Primary School
Hatch Lane,Handsworth Primary School
William Morris,Greenleaf Primary School
Markhouse,Edinburgh Primary School
Chapel End,Chapel End Infant School and Early Years Centre
Grove Green,Newport School
Cathall,Downsell Primary School
Hatch Lane,Whitehall Primary School
Valley,Chase Lane Primary School
Carshalton Central,St Philomena's School
Beddington South,The John Fisher School
Carshalton South and Clockhouse,Stanley Park Infants' School
Carshalton South and Clockhouse,Stanley Park Junior School
Carshalton Central,All Saints Carshalton Church of England Primary School
Carshalton South and Clockhouse,Stanley Park High School
Beddington South,St Elphege's RC Infants' School
Beddington South,St Elphege's RC Junior School
Carshalton Central,St Mary's RC Infants School
Carshalton Central,St Mary's RC Junior School
Worcester Park,St Cecilia's Catholic Primary School
Cheam,St Dunstan's Cheam CofE Primary School
Wallington North,Holy Trinity CofE Junior School
Sutton North,All Saints Benhilton CofE Primary School
The Wrythe,Rushy Meadow Primary School
Beddington South,Amy Johnson Primary School
Beddington South,Foresters Primary School
Stoneleigh,Nonsuch Primary School
Sutton Central,Robin Hood Junior School
Wallington North,Beddington Infants' School
Worcester Park,Dorchester Primary School
Sutton Central,Robin Hood Infants' School
The Wrythe,Victor Seymour Infants' School
Stonecot,Brookfield Primary School
Sutton Central,Manor Park Primary School
Sutton South,Devonshire Primary School
Beddington North,High View Primary School
Wandle Valley,Hackbridge Primary School
St. Helier,Abbey Primary School
Cheam,Cheam Fields Primary School
Nonsuch,Cheam Common Infants' School
Carshalton South and Clockhouse,Barrow Hedges Primary School
Beddington South,Bandon Hill Primary School
Hampton North,Clarendon School
Hampton North,Clarendon School
South Richmond,Christ's Church of England Comprehensive Secondary School
Kew,The Queen's Church of England Primary School
South Twickenham,Archdeacon Cambridge's Church of England Primary School
Barnes,St Osmund's Catholic Primary School
Heathfield,Bishop Perrin Church of England Primary School
Teddington,St Mary's and St Peter's Church of England Primary School
Hampton Wick,Sacred Heart Roman Catholic Primary School
St. Margarets and North Twickenham,St Stephen's Church of England Primary School
Twickenham Riverside,St Mary's Church of England Primary School
South Twickenham,St James's Roman Catholic Primary School
Whitton,St Edmund's Catholic Primary School
Hampton Wick,St John the Baptist Church of England Junior School
South Richmond,St Elizabeth's Catholic Primary School
Mortlake and Barnes Common,St Mary Magdalen's Catholic Primary School
North Richmond,Holy Trinity Church of England Primary School
"Ham, Petersham and Richmond Riverside",St Richard's Church of England Primary School
South Richmond,The Vineyard School
Whitton,Chase Bridge Primary School
Hampton North,Buckingham Primary School
Hampton Wick,Collis Primary School
Mortlake and Barnes Common,Barnes Primary School
West Twickenham,Trafalgar Infant School
West Twickenham,Trafalgar Junior School
Fulwell and Hampton Hill,Stanley  Primary School
East Sheen,Sheen Mount Primary School
"Ham, Petersham and Richmond Riverside",The Russell Primary School
St. Margarets and North Twickenham,Orleans Primary School
"Ham, Petersham and Richmond Riverside",Meadlands Primary School
Barnes,Lowther Primary School
Heathfield,Heathfield Infant School
Heathfield,Heathfield Junior School
Hampton Wick,Hampton Wick Infant and Nursery School
Hampton,Hampton Infant School and Nursery
Hampton,Hampton Junior School
Fulwell and Hampton Hill,Hampton Hill Junior School
East Sheen,East Sheen Primary School
Kew,Darell Primary and Nursery School
Hampton North,Carlisle Infant School
Clayhall,Hatton School and Special Needs Centre
Aldborough,Little Heath School
Fairlop,King Solomon High School
Monkhams,Trinity Catholic High School
Goodmayes,Mayfield School
Cranbrook,Valentines High School
Newbury,Seven Kings School
Newbury,Seven Kings School
Roding,Woodbridge High School
Hale End and Highams Park,Woodford County High School
Wanstead,Wanstead High School
Fullwell,Ilford County High School
Fullwell,Caterham High School
Mayfield,SS Peter and Paul's Catholic Primary School
Fairlop,Wohl Ilford Jewish Primary School
Chadwell,St Bede's Catholic Primary School
Monkhams,St Antony's Catholic Primary School
Snaresbrook,Our Lady of Lourdes RC Primary School
Barkingside,St Augustine's Catholic Primary School
Snaresbrook,Wanstead Church School
Seven Kings,Barley Lane Primary School
Wanstead,Nightingale Primary School
Hainault,John Bramston Primary School
Hainault,Coppice Primary School
Chadwell,Chadwell Primary School
Chadwell,Grove Primary School
Loxford,Woodlands Primary School
Aldborough,Fullwood Primary School
Snaresbrook,Snaresbrook Primary School
Monkhams,Wells Primary School
Bridge,Roding Primary School
Wanstead,Aldersbrook Primary School
Aldborough,William Torbitt Primary School
Loxford,Uphall Primary School
Aldborough,Newbury Park Primary School
Fullwell,Mossford Green Primary School
Mayfield,Gordon Infants' School
Goodmayes,Goodmayes Primary School
Fullwell,Glade Primary School
Fullwell,Gilbert Colvin Primary School
Fairlop,Fairlop Primary School
Seven Kings,Farnham Green Primary School
Seven Kings,Downshall Primary School
Clementswood,Cleveland Road Primary School
Hainault,Manford Primary School
Green Street West,St Bonaventure's RC School
Green Street West,St Angela's Ursuline School
Stratford and New Town,Sarah Bonnell School
Canning Town North,Eastlea Community School
Plaistow South,The Cumberland School
East Ham North,Plashet School
Plaistow North,Lister Community School
Canning Town North,Rokeby School
Little Ilford,Little Ilford School
Forest Gate North,Forest Gate Community School
Little Ilford,St Winefride's RC Primary School
East Ham Central,St Michael's Catholic Primary School
Forest Gate North,St Francis' Catholic Primary School
Boleyn,St Edward's Catholic Primary School
Canning Town South,St Luke's Primary School
West Ham,West Ham Church Primary School
Forest Gate North,St James' CofE Junior School
East Ham North,Essex Primary School
East Ham South,Vicarage Primary School
Beckton,North Beckton Primary School
Boleyn,Cleves Primary School
Custom House,Ellen Wilkinson Primary School
Custom House,Calverton Primary School
Custom House,Scott Wilkie Primary School
Plaistow North,Southern Road Primary School
Stratford and New Town,Colegrave Primary School
Beckton,Winsor Primary School
Plaistow South,Tollgate Primary School
Green Street East,St Stephen's Primary School
Canning Town North,Star Primary School
Green Street East,William Davies Primary School
Green Street East,Shaftesbury Primary School
Manor Park,Salisbury Primary School
Custom House,Rosetta Primary School
East Ham South,Roman Road Primary School
Canning Town South,Ravenscroft Primary School
Forest Gate South,Park Primary School
Forest Gate North,Odessa Infant School
Plaistow South,New City Primary School
Wall End,Nelson Primary School
West Ham,Ranelagh Primary School
Manor Park,Monega Primary School
Forest Gate North,Maryland Primary School
West Ham,Manor Primary School
East Ham Central,Lathom Junior School
East Ham North,Kensington Primary School
Canning Town South,Keir Hardie Primary School
Canning Town South,Hallsville Primary School
Canning Town North,Grange Primary School
Forest Gate North,Woodgrange Infant School
Forest Gate North,Godwin Junior School
Canning Town North,Gainsborough Primary School
Green Street West,Elmhurst Primary School
Forest Gate South,Earlham Primary School
Royal Docks,Drew Primary School
Little Ilford,Dersingham Primary School
Plaistow North,Curwen Primary and Nursery School
Stratford and New Town,Carpenters Primary School
East Ham South,Brampton Primary School
Manor Park,Avenue Primary School
Wall End,Altmore Infant School
Cricket Green,Cricket Green School
Cricket Green,Cricket Green School
St. Helier,Perseid School
St. Helier,Perseid School
Raynes Park,Ursuline High School Wimbledon
Hillside,Wimbledon College
Merton Park,Rutlish School
Raynes Park,Raynes Park High School
Village,Ricards Lodge High School
Trinity,The Priory CofE School
